ProjectId;depVarName';indepVarName;b;se;t;pvalue;dfl;dfu;Nobs;F;Prob>F;RMSE;R2;RSS;MSS;train_rmse;train_mae;train_mape;valid_rmse;valid_mae;valid_mape;
1;Efficiency_Index;Polarity_Score;-.01920715;.01865719;-1.0294774;.30831042;-.05670017;.01828587;50;.8679829;.35617687;.02018729;.01400601;.01956129;.00027787;.24911705;.04740756;155.19693;.01959964;.01345177;69.68412;
1;Improvement_Ratio;Polarity_Score;.01869332;.00772717;2.4191679;.01931421;.00316499;.03422165;51;5.8523732;.01931421;.10854928;.12255018;.57736432;.08063834;.10639957;.07989219;90.149467;.06438874;.0581811;111.02697;
1;Velocity;Polarity_Score;-.02028322;.01185774;-1.7105469;.09348998;-.04411223;.0035458;49;1.5901249;.21353198;.12649178;.04170587;.75200806;.0327281;.17501737;.11355025;34.13205;.06843205;.05467826;23.041555;
1;Assignee_Workload;Polarity_Score;1.0710274;.17194372;6.2289417;1.038e-07;.72549357;1.4165613;51;38.799715;1.038e-07;2.2869134;.50810113;256.26867;264.7097;2.2416235;1.688751;40.982121;1.9524819;1.7046028;40.05867;
1;Reporter_Activity_Ratio;Polarity_Score;.99661631;.16136358;6.176216;1.252e-07;.67234406;1.3208886;51;38.145644;1.252e-07;2.0789229;.5197642;211.7741;229.2053;2.037752;1.6372547;41.637665;2.1970345;1.7499574;39.480583;
1;Bug_Density;Polarity_Score;-.00820251;.00737655;-1.1119705;.2715769;-.02302624;.00662123;49;.00348103;.95320208;.078052;.00004487;.28632941;.00001285;.14110805;.07948654;165.60312;.04032075;.03779786;79.231491;
1;Issues;Subjectivity_Score;4.5151231;.21145098;21.353049;1.803e-26;4.0901965;4.9400498;50;469.15863;2.005e-26;11.557507;.92888314;6411.6468;83744.853;12.940476;9.9833479;39.437546;17.539491;14.412178;30.470356;
1;Reporters;Subjectivity_Score;.34507357;.04043984;8.5330106;2.959e-11;.26380667;.42634047;51;72.812269;2.959e-11;2.3056046;.65385858;260.47482;492.03499;2.2599446;1.8334873;38.790359;3.355536;2.3844559;25.688454;
1;Assignees;Subjectivity_Score;.23940991;.0411457;5.8185886;4.449e-07;.15672452;.32209529;51;33.855973;4.449e-07;2.2940247;.47875105;257.86492;236.84096;2.248594;1.7385826;43.612335;2.158035;1.7745466;19.506811;
1;In_Progress_Minutes;Subjectivity_Score;.01029118;.00356113;2.8898604;.0057274;.00313481;.01744754;49;9.6735837;.00317351;.13059173;.36945255;.80154741;.46964544;.19658017;.10893288;784.81372;.0918306;.07704712;179.6106;
1;Resolution_Time_Minutes;Subjectivity_Score;.02017243;.00224152;8.9994301;5.907e-12;.01566792;.02467694;51;80.989742;5.907e-12;.12430981;.68950466;.75719353;1.6814696;.12184799;.09400281;260.14676;.10809957;.08898146;463.59067;
1;Completed_Issues;Subjectivity_Score;4.4910488;.20279674;22.145567;3.564e-27;4.0835135;4.8985841;50;506.00672;3.831e-27;11.63561;.92726681;6498.5958;82849.824;13.019256;9.9809132;39.629768;17.518571;14.357838;30.289856;
1;Story_Points;Subjectivity_Score;15.665144;2.2402808;6.9924914;6.814e-09;11.163131;20.167157;49;301.80796;4.337e-22;56.204822;.87244217;148472.16;1015487.4;77.885837;50.856216;53.132637;76.761288;52.892292;33.498882;
1;Total_Effort_Minutes;Subjectivity_Score;.01011439;.00360167;2.8082511;.00713307;.00287656;.01735221;50;8.7279728;.00484272;.15840062;.27216577;1.2043563;.45035607;.19509399;.11313561;425.82797;.08522607;.07817737;168.81902;
1;Bugs;Subjectivity_Score;1.3411327;.21193612;6.3280043;7.291e-08;.91523109;1.7670343;50;110.78415;4.613e-14;6.280057;.69736035;1893.0776;4362.1424;7.4950932;5.5247712;131.36218;6.502235;5.0787778;60.441917;
1;Stories;Subjectivity_Score;2.1834835;.2339327;9.3338105;1.886e-12;1.7133781;2.6535888;51;87.120019;1.886e-12;14.212498;.66559408;9897.7595;19700.28;13.931034;10.596294;101.2246;17.06552;12.412808;45.739773;
1;Improvements;Subjectivity_Score;.98333491;.17654621;5.5698444;1.069e-06;.62855202;1.3381178;49;24.209225;.00001101;5.5170706;.6969903;1430.5892;3290.6761;7.5442117;4.6508989;152.84079;4.4370126;3.6605625;180.4489;
1;Technical_Tasks;Subjectivity_Score;.00960453;.0165449;.58051314;.56422901;-.02364369;.04285276;50;.40467879;.52770461;1.5577097;.00350736;116.47006;.40994077;1.7514271;1.152197;.;1.8549556;1.0590249;.;
1;Efficiency_Index;Subjectivity_Score;-.00357023;.00356875;-1.0004141;.32202507;-.0107419;.00360145;50;.12513633;.72507826;.02029657;.00330268;.01977363;.00006552;.24935301;.0473989;158.45602;.01938851;.01341026;70.690575;
1;Improvement_Ratio;Subjectivity_Score;.0052437;.00149218;3.514119;.00095983;.00224505;.00824234;51;12.349032;.00095983;.10540345;.17267124;.54438452;.11361814;.10331605;.07612873;77.495598;.06345115;.05858011;101.22341;
1;Velocity;Subjectivity_Score;-.00442964;.00260718;-1.6990181;.09565728;-.00966896;.00080968;49;1.3418965;.25255215;.12740136;.02787459;.76286196;.0218742;.17594567;.11279845;34.095783;.06351682;.05010185;21.425901;
1;Assignee_Workload;Subjectivity_Score;.32089696;.02091452;15.34326;2.409e-20;.27886765;.36292627;50;242.00278;2.232e-20;1.2021912;.85872008;69.372656;421.65717;1.3720213;.9753899;23.555965;1.6115365;1.3750747;29.71104;
1;Reporter_Activity_Ratio;Subjectivity_Score;.24831285;.04446864;5.5839995;1.017e-06;.15894978;.33767593;50;113.00567;3.295e-14;1.616215;.57784973;125.38325;171.6277;1.9444176;1.3696301;34.180233;1.7027101;1.3963801;30.120968;
